Acura;11111;crossover;199;3,5;Petrol;2005;MDX;3
Acura;15650;crossover;170;3,7;Petrol;2008;MDX;3
Acura;15000;sedan;150;3,5;Gas;2008;RL;3
Acura;8550;sedan;145;3,2;Petrol;2005;TL;1
Acura;8699;sedan;145;3,2;Gas;2005;TL;1
Acura;8700;sedan;145;3,2;Gas;2005;TL;1
Acura;8699;sedan;144;3,2;Gas;2005;TL;1
Acura;12900;sedan;126;3,5;Gas;2006;RL;3
Acura;18500;crossover;85;3,7;Petrol;2008;MDX;3
Acura;17200;crossover;82;3,7;Petrol;2008;MDX;3
Acura;30999;crossover;32;3,7;Other;2010;ZDX;3
Acura;46999;crossover;30;3,5;Petrol;2014;MDX;3
Acura;38200;sedan;4;2,4;Petrol;2015;TLX;1
Alfa Romeo;17500;hatch;800;1,4;Petrol;2012;Giulietta;1
Alfa Romeo;2350;vagon;230;1,9;Diesel;2003;156;1
Alfa Romeo;5900;hatch;199;1,6;Petrol;2002;147;1
Alfa Romeo;1800;hatch;185;1,7;Gas;1991;33;1
Alfa Romeo;11900;sedan;156;2,2;Petrol;2008;159;1
Alfa Romeo;12000;sedan;150;2,2;Petrol;2008;159;1
Alfa Romeo;2300;sedan;122;1,6;Petrol;1991;75;2
Alfa Romeo;2300;sedan;94;1,8;Petrol;2000;156;1
Alfa Romeo;12100;sedan;91;2,2;Petrol;2008;159;1
Alfa Romeo;15300;sedan;62;2,2;Petrol;2009;159;1
Alfa Romeo;15999;hatch;60;1,4;Petrol;2012;Giulietta;1
Aro;3600;crossover;43;1,4;Petrol;1992;10;3
Aston Martin;65000;other;37;6;Petrol;2006;DB9;2
Aston Martin;125000;sedan;18;6;Petrol;2012;Rapide;2
Aston Martin;125000;sedan;12;6;Petrol;2011;Rapide;2
Audi;6700;sedan;470;2;Diesel;1997;A6;1
Audi;1900;sedan;450;2,5;Diesel;1996;A6;1
Audi;2750;sedan;450;2,5;Diesel;1999;A6;1
Audi;6500;vagon;421;2,5;Diesel;1996;A6;1
Audi;3700;hatch;420;2;Diesel;2004;A3;1
Audi;3990;sedan;413;2,6;Gas;1993;100;1
Audi;2500;sedan;407;2,8;Gas;1999;A6;1
Audi;4700;sedan;400;2,6;Petrol;1996;A6;1
Audi;4000;sedan;400;2;Petrol;1992;100;1
Audi;1350;vagon;400;1,9;Diesel;1994;80;1
Audi;1999;sedan;400;1,6;Diesel;1986;80;1
